Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-26,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,,Failure
US Navy,"Douglas F4D Skyray, Naval Air Station Point Mugu, California, USA",1958-08-29,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-09-23,07:40:00,Vostok,E-1 n†­1 (Luna-1),Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1958-09-26,15:38:00,Vanguard,Vanguard SLV-3,Retired,,Failure
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-10-11,08:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-10-11,21:41:00,Vostok,E-1 n†­2 (Luna-1),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-10-23,03:21:00,Juno I,Beacon 1,Retired,,Failure
NASA,"SLC-17A, Cape Canaveral AFS, Florida, USA",1958-11-08,07:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1958-12-04,18:18:00,Vostok,E-1 n†­3 (Luna-1),Retired,,Failure
AMBA,"LC-5, Cape Canaveral AFS, Florida, USA",1958-12-06,05:44:00,Juno II,Pioneer 3,Retired,,Partial Failure
US Air Force,"LC-11, Cape Canaveral AFS, Florida, USA",1958-12-18,23:02:00,SM-65B Atlas,SCORE,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-01-02,16:41:00,Vostok,Luna-1,Retired,,Partial Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-02-17,15:55:00,Vanguard,Vanguard 2,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-02-28,21:49:00,Thor-DM18 Agena-A,Discoverer 1,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-04-13,21:18:00,Thor-DM18 Agena-A,Discoverer 2,Retired,,Success
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-04-14,02:49:00,Vanguard,Vanguard SLV-5,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-06-03,20:09:00,Thor-DM18 Agena-A,Discoverer 3,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-06-18,08:08:00,Vostok,E-1A n†­1 (Luna-2),Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-06-22,20:16:00,Vanguard,Vanguard SLV-6,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-06-25,22:47:00,Thor-DM18 Agena-A,Discoverer 4,Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1959-08-07,14:24:00,Thor DM-18 Able-III,Explorer 6,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-08-13,19:00:00,Thor-DM18 Agena-A,Discoverer 5,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-08-19,19:24:00,Thor-DM18 Agena-A,Discoverer 6,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1959-09-09,08:19:00,Atlas-D Mercury,Big Joe 1,Retired,,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-09-12,06:39:00,Vostok,Luna-2,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1959-09-17,14:34:00,Thor DM-18 Able-II,Transit 1A,Retired,,Failure
US Navy,"LC-18A, Cape Canaveral AFS, Florida, USA",1959-09-18,05:20:00,Vanguard,Vanguard 3,Retired,,Partial Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1959-10-04,00:43:00,Vostok,Luna-3,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1959-11-07,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1959-11-20,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1959-11-26,07:26:00,Atlas-D Able,Pioneer P-3,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-02-04,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-02-19,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1960-02-26,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-03-11,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-04-01,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-04-13,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-04-15,15:06:00,Vostok,E-3 n†­2 (Luna-3),Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-04-15,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-04-16,,Vostok,E-3 n†­3 (Luna-3),Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-05-13,09:16:00,Thor DM-19 Delta,Echo 1,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-05-15,00:00:00,Vostok,Korabl-Sputnik 1,Retired,,Success
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",1960-05-24,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-06-22,05:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-06-29,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-07-28,09:31:00,Vostok,1K n†­2 (Korabl-Sputnik 2),Retired,,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1960-07-29,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-08-10,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-08-12,09:39:00,Thor DM-19 Delta,Echo 1A,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-08-18,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-08-18,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-08-19,08:44:00,Vostok,Korabl-Sputnik 2,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-09-13,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1960-09-25,15:13:00,Atlas-D Able,Pioneer P-30,Retired,,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-10-04,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-10-10,14:27:00,Molniya,1M n†­1 (Marsnik 1),Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1960-10-11,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-10-14,13:51:00,Molniya,1M n†­2 (Marsnik 2),Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-10-26,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-11-12,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960-11-21,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1960-11-23,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1960-11-30,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-12-01,07:30:00,Vostok,Korabl-Sputnik 3,Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1960-12-04,21:14:00,Scout X-1,Explorer (S-56),Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1960-12-07,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1960-12-15,09:10:00,Atlas-D Able,Pioneer P-31,Retired,,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1960-12-19,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1960-12-20,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1960-12-22,07:45:00,Vostok,1K n†­5 (Korabl-Sputnik 3),Retired,,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-01-31,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-01-31,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-02-04,01:18:00,Molniya,1VA n†­1 (Venera 1),Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-02-12,00:34:00,Molniya,Venera 1,Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-02-16,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-02-17,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-02-18,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-02-21,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-02-22,03:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-03-09,06:29:00,Vostok,Korabl-Sputnik 4,Retired,,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-03-24,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-03-25,05:54:00,Vostok,Korabl-Sputnik 5,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-03-25,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-03-30,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-04-08,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-04-12,06:07:00,Vostok,Vostok 1,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-04-25,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-05-05,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-06-08,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-06-16,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-06-29,04:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-06-30,17:09:00,Scout X-1,Explorer (S-55),Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-07-07,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-07-12,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-07-12,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",1961-07-21,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-07-21,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-08-04,00:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-08-06,06:00:00,Vostok,Vostok 2,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1961-08-16,03:21:00,Thor DM-19 Delta,Explorer 12,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1961-08-23,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,,Failure
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1961-08-25,18:29:00,Scout X-1,Explorer 13,Retired,,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-08-30,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-09-09,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-09-12,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-09-13,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-09-17,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-10-13,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-10-21,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,,Partial Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1961-10-23,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1961-10-27,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,,Failure
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",1961-11-01,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1961-11-05,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-11-15,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1961-11-15,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1961-11-18,08:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1961-11-22,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1961-11-29,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1961-12-11,09:39:00,Vostok,Zenit-2 n†­1,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1961-12-12,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1961-12-21,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,,Failure
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1961-12-22,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-01-13,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1962-01-24,09:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,,Failure
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1962-01-26,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,,Partial Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1962-02-08,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1962-02-20,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1962-02-21,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-02-27,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1962-03-07,16:06:00,Thor DM-19 Delta,OSO-1,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1962-03-07,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1962-03-16,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1962-04-06,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",1962-04-09,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1962-04-18,00:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1962-04-23,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1962-04-24,04:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1962-04-26,10:02:00,Vostok,Cosmos 4,Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",1962-04-26,10:49:00,Scout X-2,Solrad 4B,Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1962-04-26,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1962-04-26,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-04-29,00:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1962-05-08,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1962-05-10,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1962-05-15,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",1962-05-24,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,,Success
US Air Force,"SLC-5, Vandenberg AFB, California, USA",1962-05-24,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1962-05-28,03:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1962-05-30,01:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1962-06-01,09:37:00,Vostok-2,Zenit-2 n†­3,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-06-02,00:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1962-06-17,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1962-06-18,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",1962-06-19,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-06-23,00:30:00,Thor DM-21 Agena-B,FTV 1129,Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1962-06-28,01:09:00,Thor DM-21 Agena-D,FTV 1151,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",1962-06-30,16:00:00,Cosmos-2I (63S1),Cosmos 6,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",1962-07-10,08:35:00,Thor DM-19 Delta,Telstar 1,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",1962-07-18,20:15:00,Atlas-LV3 Agena-B,Samos 9,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",1962-07-21,00:56:00,Thor DM-21 Agena-B,FTV 1130,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",1962-07-22,09:21:00,Atlas-LV3 Agena-B,Mariner 1,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",1962-07-28,00:30:00,Thor DM-21 Agena-B,FTV 1131,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1962-07-28,09:18:00,Vostok-2,Cosmos 7,Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",1962-08-02,00:17:00,Thor DM-21 Agena-D,FTV 1152,Retired,,Success
